STATE,N_SOIL,P_SOIL,K_SOIL,TEMPERATURE,HUMIDITY,ph,RAINFALL,CROP
Gujarat,98,44,21,25.77175115,74.089114,6.524478032,107.4931917,Ladies Finger
Gujarat,75,56,18,19.39851734,62.35750641,5.696205468,60.95197486,Brinjal
Gujarat,86,55,21,21.54156232,59.64024162,6.803931519,109.7515385,Cowpea
Gujarat,98,35,18,23.79746068,74.82913698,6.252797548,91.76337172,Paddy
Gujarat,76,57,18,18.9802729,74.52600826,6.092725883,94.26249353,Pigeon Pea
Gujarat,99,56,17,24.10859207,73.13112261,6.234330356,71.07562236,Surat Beans
Gujarat,60,44,23,24.7947077,70.04556743,5.722579819,76.72860067,Tomato
Gujarat,74,48,17,21.63162756,60.27766379,6.430616465,69.21803098,Ladies Finger
Gujarat,89,60,17,25.37548751,57.21025565,5.983952675,101.7004306,Brinjal
Gujarat,69,51,23,22.21738222,72.85462807,6.80163854,106.6213157,Cowpea
Gujarat,96,46,22,20.58314011,69.00128641,6.499936446,66.29390357,Paddy
Gujarat,61,60,15,24.87502824,68.74248334,6.265564338,91.26056654,Pigeon Pea
Gujarat,74,58,18,20.03728219,56.35606753,6.727303282,109.024141,Surat Beans
Gujarat,74,43,23,25.95263264,61.89082199,6.325235159,99.57981207,Tomato
Gujarat,63,43,17,19.28889933,65.47050802,6.807487794,71.3195307,Bitter Gourd
Gujarat,99,36,20,20.57981887,65.34583901,6.671085817,78.34604471,Bottle Gourd
Gujarat,77,36,23,24.71417533,56.73426469,6.648725327,88.45361858,Brinjal
Gujarat,87,60,23,20.27317074,63.91281869,6.439071996,62.50351892,Cabbage
Gujarat,60,38,17,18.41932981,64.23580251,6.474476516,76.41312437,Cauliflower
Gujarat,94,54,17,23.39128187,61.74427165,5.871647806,107.3198135,Cucumber
Gujarat,95,38,22,19.84939404,61.24500053,5.730617109,100.7689246,Chholia
Gujarat,84,44,21,21.869274,61.91044947,5.850439831,107.2681929,Guar
Gujarat,77,58,19,22.8056033,56.50768935,5.791649933,101.5952794,Little Gourd
Gujarat,66,44,20,19.0781471,69.02298571,6.740000688,80.72515943,Paddy
Gujarat,63,35,16,22.02720976,65.35549924,6.272417541,83.73280082,Pigeon Pea
Gujarat,79,45,20,23.80546189,59.24537979,5.715208817,89.9622014,Ridge Gourd
Gujarat,72,60,25,18.52510753,69.0276233,5.773454729,88.10234397,Round gourd
Gujarat,67,51,24,23.50297882,61.32026065,5.584171461,64.77791424,Tomato
Gujarat,86,36,24,26.54986394,72.89187265,5.787268394,73.33636055,Cotton
Gujarat,76,48,18,19.29563411,69.63481219,5.77597783,83.21030571,Cotton
Gujarat,75,53,18,20.68899915,59.4375337,6.864793607,103.651438,Cotton
Gujarat,81,45,23,19.32666088,68.034493,6.192360003,84.22969177,Cotton
Gujarat,73,45,21,24.60532218,73.58868502,6.636803223,96.59195302,Ladies Finger
Gujarat,71,35,24,22.27373646,59.52193158,5.826426917,67.96704792,Bitter Gourd
Gujarat,96,54,22,25.70196694,61.33450447,6.960358276,83.20711308,Bottle Gourd
Gujarat,99,39,18,19.20129357,68.30578978,6.11275104,87.85092352,Brinjal
Gujarat,62,48,20,21.70181447,60.47470519,6.708446922,95.71388473,Carrot
Gujarat,86,37,16,20.51716779,59.21235483,5.561510732,67.61013737,Cauliflower
Gujarat,94,50,19,23.30355338,73.62548442,5.873242491,97.59081274,Coriander
Gujarat,76,39,24,24.2547451,55.64709899,6.995843776,64.23845455,Cowpea
Gujarat,77,52,17,24.86374934,65.7420046,5.714799723,75.82270467,Cucumber
Gujarat,74,39,23,22.6265115,65.77472881,6.78073637,88.17251033,Drumstick
Gujarat,81,49,20,18.04185513,60.61494304,5.513697923,104.2321615,Elephat Yam
Gujarat,63,42,21,23.26237612,72.33125523,5.798423908,67.10225139,Ginger
Gujarat,99,38,21,22.88330922,71.59722446,6.352471866,67.72777298,Green Chilli
Gujarat,90,52,25,25.97482359,69.36385721,6.822586546,103.2234212,Seam
Gujarat,68,40,19,26.14384005,66.20569924,6.655426355,107.2361366,Leafy Vegetable
Gujarat,60,57,24,18.66116213,61.55327249,6.121294041,75.03247667,Lemon
Gujarat,71,52,18,25.10787449,55.97732754,5.790770203,78.16077693,Methi Leaves
Gujarat,61,59,17,23.33844615,59.24580604,6.47444292,105.0083144,Mint
Gujarat,88,38,15,25.08239719,65.92195844,6.455116637,62.49190812,Onion
Gujarat,65,60,22,25.36768364,72.52054555,6.606984086,107.9124111,Papaya
Gujarat,78,37,22,25.34217103,63.31801994,6.330554389,74.52082026,Peas cod
Gujarat,78,58,15,25.00933355,67.816568,6.528631266,62.91359494,Pigeon Pea
Gujarat,92,60,23,18.66746724,71.516474,5.721667141,69.93293255,Potato
Gujarat,79,59,17,20.37999665,63.73849998,6.644205485,108.5054416,Pumpkin
Gujarat,91,55,15,18.09300227,72.61024172,6.376651091,78.96159541,Raddish
Gujarat,76,51,18,26.16985907,71.96246617,6.247040422,79.84925393,Spinach
Gujarat,87,48,25,18.65396672,61.37879671,6.656730008,93.62039175,Sponge Gourd
Gujarat,71,60,22,26.07470121,59.37147589,6.2048017,85.75692395,Surat Beans
Gujarat,90,57,24,18.92851916,72.80086137,6.158860284,82.34162918,Sweet Potato
Gujarat,67,35,22,23.30546753,63.24648023,6.385684214,108.7603001,Tomato
Gujarat,60,54,19,18.74826712,62.49878458,6.417820493,70.23401597,Bitter Gourd
Gujarat,83,58,23,19.74213321,59.66263104,6.381201909,65.50861389,Bottle Gourd
Gujarat,83,57,19,25.73044432,70.74739256,6.877869005,98.73771338,Parval
Gujarat,40,72,77,17.02498456,16.98861173,7.485996067,88.55123143,Tinda
